"RenewableArea"	"ProjectName"	"SiteName"	"Country"	"Capacity"	"change in capacity Q1"	"change in capacity Q2"	"change in capacity Q3"	"change in capacity Q4"	"RESTATS Ref"	"ROC Ref"	"Survey"	"Capacity Q1"	"Capacity Q2"	"Capacity Q3"	"Capacity Q4"	"Operational Month (0=previous years)"	"CAPACITY END of last year"
"Small Hydro"	"Scottish & Southern Energy plc"	"Meig Dam"	"Scotland"	0.076	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Ardverikie"	"Ardverikie"	"Scotland"	1.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Balgonie Hydro Power Station"	"Balgonie Hydro Power Station"	"Scotland"	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Bridge of Tilt"	"Bridge of Tilt"	"Scotland"	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Burnhead Power Station"	"Burnhead Power Station"	"Scotland"	1.3	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Clachbreck"	"Clachbreck"	"Scotland"	0.132	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Clatto Treatment Works"	"Clatto Treatment Works"	"Scotland"	0.171	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Deanston HES"	"Deanston HES"	"Scotland"	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Drimsynie Estate Power Station"	"Drimsynie Estate Power Station"	"Scotland"	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Fettykil Mills"	"Fettykil Mills"	"Scotland"	0.4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Forebush Power Station"	"Forebush Power Station"	"Scotland"	0.65	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glenglass Hydro"	"Glenglass Hydro"	"Scotland"	0.916	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glenmore Power Station"	"Glenmore Power Station"	"Scotland"	0.12	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Knoydart Hydro"	"Knoydart Hydro"	"Scotland"	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Mannoch Power Station"	"Mannoch Power Station"	"Scotland"	0.257	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"MRC Energy"	"MRC Energy"	"Scotland"	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Stormontfield Hydro Station"	"Stormontfield Hydro Station"	"Scotland"	0.11	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Twin Loch Hydro"	"Twin Loch Hydro"	"Scotland"	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Victoria Falls Station"	"Victoria Falls Station"	"Scotland"	1.12	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"RWE Npower Plc"	"Garry Gualach Hydro Scheme (SRO)"	"Scotland"	0.78	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Stanley Mills (SRO)"	"Stanley Mills (SRO)"	"Scotland"	0.84	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Cuileig Hydro Scheme"	"Scotland"	3.3	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Camserney Hydron Scheme"	"Camserney Hydron Scheme"	"Scotland"	0.9	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Rio Tinto Alcan"	"Fort William"	"Scotland"	90	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Clunie Dam"	"Scotland"	0.175	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Invergarry Dam"	"Scotland"	0.24	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Luichart Dam"	"Scotland"	0.085	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Orrin Dam"	"Scotland"	0.256	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Quoich Dam"	"Scotland"	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Shin Diversion Dam"	"Scotland"	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Tobermory Power Station"	"Scotland"	0.28	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Lussa Power Station"	"Scotland"	2.4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"RWE Npower Plc"	"Blantyre Mills"	"Scotland"	0.57	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Awe Barrage - A"	"Scotland"	0.886	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Kilmelford Compset"	"Scotland"	0.082	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Loch Ericht Power Station"	"Scotland"	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Pitlochry Compensation Generation"	"Scotland"	0.059	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Ashfield Mill"	"Ashfield Mill"	"Scotland"	0.15	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Kerry Falls"	"Scotland"	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Lubreoch Power Station"	"Scotland"	4	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Glen Kinglas Hydro Ltd"	"Glen Kinglas Hydro Ltd"	"Scotland"	0.96	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Kingairloch Power Station"	"Scotland"	3.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Misgeach Power Station"	"Scotland"	0.35	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Loyne Tunnel"	"Scotland"	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Duchally Power Station"	"Scotland"	0.45	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Stronuich Power Station"	"Scotland"	0.18	0	0	0	0	0	0	0	0	0	0	0	0	0
