"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	9.1
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	4
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	35
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	2.5
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	2.4
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	15.3
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	25.3
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	22
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.8
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	1
"East Lothian"	"Wind Onshore"	"Operational"	1	4.5
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	36.8
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	19.5
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	18.2
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	30
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	10
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	43.7
"East Lothian"	"Wind Onshore"	"Operational"	1	48
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	21.6
"Scottish Borders"	"Wind Onshore"	"Operational"	1	6.9
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	15
"South Ayrshire"	"Wind Onshore"	"Operational"	1	22
"Highland"	"Wind Onshore"	"Operational"	1	228
"Perth and Kinross"	"Wind Onshore"	"Operational"	1	14.4
"Scottish Borders"	"Wind Onshore"	"Operational"	1	28.7
"Scottish Borders"	"Wind Onshore"	"Operational"	1	5
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	46
"Scottish Borders"	"Wind Onshore"	"Operational"	1	16
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	37
"Highland"	"Wind Onshore"	"Operational"	1	67.65
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	18.4
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	1.5
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	27.5
"Highland"	"Wind Onshore"	"Operational"	1	110
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	88.4
"South Ayrshire"	"Wind Onshore"	"Operational"	1	25
"Highland"	"Wind Onshore"	"Operational"	1	26.65
"Highland"	"Wind Onshore"	"Operational"	1	69.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	57.5
"North Ayrshire"	"Wind Onshore"	"Operational"	1	6
"Highland"	"Wind Onshore"	"Operational"	1	29.75
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	16.65
"Highland"	"Wind Onshore"	"Operational"	1	41.4
"Highland"	"Wind Onshore"	"Operational"	1	43
"Highland"	"Wind Onshore"	"Operational"	1	92
"Orkney Islands"	"Wind Onshore"	"Operational"	1	1.75
"Highland"	"Wind Onshore"	"Operational"	1	5.2
"Dundee City"	"Wind Onshore"	"Operational"	1	4
"Highland"	"Wind Onshore"	"Operational"	1	40
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	12.3
"Moray"	"Wind Onshore"	"Operational"	1	65
"North Ayrshire"	"Wind Onshore"	"Operational"	1	18
"Highland"	"Small Hydro"	"Operational"	1	1.6
"Fife"	"Biomass (dedicated)"	"Operational"	1	6.5
