Generator type,Fuel,Year,Country,value
All generating companies,Hydro natural flow,2012,England,90.2744
All generating companies,Wind,2012,England,9066.928
All generating companies,Solar,2012,England,1194.5925
All generating companies,Shoreline wave and tidal,2012,England,0.1319
All generating companies,Bioenergy,2012,England,12555.3961
All generating companies,Other fuels,2012,England,2875.7738
All generating companies,Pumped storage,2012,England,0
All generating companies,Total all generating companies,2012,England,270215.6403
Major power producers,Coal,2013,UK,130175.31
Major power producers,Oil,2013,UK,744.8802
Major power producers,Gas,2013,UK,82890.82
Major power producers,Nuclear,2013,UK,70606.8771
Major power producers,Hydro natural flow,2013,UK,3609.0006
Major power producers,Wind,2013,UK,23958.0953
Major power producers,Solar,2013,UK,NA
Major power producers,Bioenergy,2013,UK,9211.5079
Major power producers,Other fuels,2013,UK,522.1457
Major power producers,Hydro pumped storage,2013,UK,2903.89
Major power producers,Total major power producers,2013,UK,324622.5268
Other generators,Coal,2013,UK,82.59
Other generators,Oil,2013,UK,1321.37
Other generators,Gas,2013,UK,12951.95
Other generators,Hydro natural flow,2013,UK,1092.4736
Other generators,Wind,2013,UK,4439.0564
Other generators,Solar,2013,UK,2010.2621
Other generators,Shoreline wave and tidal,2013,UK,4.7052
Other generators,Bioenergy,2013,UK,8888.6267
Other generators,Other fuels,2013,UK,2870.2725
Other generators,Total other generators,2013,UK,33661.3064
All generating companies,Fossil fuels,2013,UK,228166.9202
All generating companies,Coal,2013,UK,130257.9
All generating companies,Oil,2013,UK,2066.2502
All generating companies,Gas,2013,UK,95842.77
All generating companies,Nuclear,2013,UK,70606.8771
All generating companies,Renewables,2013,UK,53213.7278
All generating companies,Hydro natural flow,2013,UK,4701.4742
All generating companies,Wind,2013,UK,28397.1517
All generating companies,Solar,2013,UK,2010.2621
All generating companies,Shoreline wave and tidal,2013,UK,4.7052
All generating companies,Bioenergy,2013,UK,18100.1346
All generating companies,Other fuels,2013,UK,3392.4181
All generating companies,Pumped storage,2013,UK,2903.89
All generating companies,Total all generating companies,2013,UK,358283.8332
Major power producers,Coal,2013,Scotland,10760.9465
Major power producers,Oil,2013,Scotland,206.2185
Major power producers,Gas,2013,Scotland,3496.7461
Major power producers,Nuclear,2013,Scotland,18497.8809
Major power producers,Hydro natural flow,2013,Scotland,3413.9366
Major power producers,Wind,2013,Scotland,9491.8464
Major power producers,Solar,2013,Scotland,NA
Major power producers,Bioenergy,2013,Scotland,395.1182
Major power producers,Other fuels,2013,Scotland,0
Major power producers,Hydro pumped storage,2013,Scotland,619.6896
Major power producers,Total major power producers,2013,Scotland,46882.3827
Other generators,Coal,2013,Scotland,8.5206
Other generators,Oil,2013,Scotland,433.2288
Other generators,Gas,2013,Scotland,1942.0555
Other generators,Hydro natural flow,2013,Scotland,955.5388
Other generators,Wind,2013,Scotland,1659.3404
Other generators,Solar,2013,Scotland,95.9197
Other generators,Shoreline wave and tidal,2013,Scotland,1.3876
Other generators,Bioenergy,2013,Scotland,976.5553
Other generators,Other fuels,2013,Scotland,69.2015
Other generators,Total other generators,2013,Scotland,6141.7481
All generating companies,Fossil fuels,2013,Scotland,16847.7159
All generating companies,Coal,2013,Scotland,10769.4671
All generating companies,Oil,2013,Scotland,639.4473
All generating companies,Gas,2013,Scotland,5438.8016
All generating companies,Nuclear,2013,Scotland,18497.8809
All generating companies,Renewables,2013,Scotland,16989.643
All generating companies,Hydro natural flow,2013,Scotland,4369.4754
All generating companies,Wind,2013,Scotland,11151.1868
All generating companies,Solar,2013,Scotland,95.9197
All generating companies,Shoreline wave and tidal,2013,Scotland,1.3876
All generating companies,Bioenergy,2013,Scotland,1371.6735
All generating companies,Other fuels,2013,Scotland,69.2015
All generating companies,Pumped storage,2013,Scotland,619.6896
All generating companies,Total all generating companies,2013,Scotland,53024.1309
Major power producers,Coal,2013,Wales,11339.0606
Major power producers,Oil,2013,Wales,244.3033
Major power producers,Gas,2013,Wales,17144.1888
Major power producers,Nuclear,2013,Wales,4325.3037
