"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2019"	"S12000041"	"Angus"	45.417983	0	7.380841	35.698705	0	23.857488	112.355017
"2019"	"S12000035"	"Argyll and Bute"	846.927953	0	581.342381	6.465658	0	0	1434.735991
"2019"	"S12000036"	"City of Edinburgh"	0.218282	0	0	9.946149	0	17.1688	27.333232
"2019"	"S12000005"	"Clackmannanshire"	124.300081	0	0	7.132092	0	0	131.432173
"2019"	"S12000006"	"Dumfries and Galloway"	1619.690273	0	417.27155	13.853188	0	328.539569	2379.354581
"2019"	"S12000042"	"Dundee City"	0.071776	0	0	4.517175	0	0	4.588951
"2019"	"S12000008"	"East Ayrshire"	719.086485	0	1.782906	5.602239	0	0	726.471629
"2019"	"S12000045"	"East Dunbartonshire"	0	0	0	2.772035	0	0	2.772035
"2019"	"S12000010"	"East Lothian"	460.489065	0	0	7.939358	0	0	468.428423
"2019"	"S12000011"	"East Renfrewshire"	670.914368	0	0	2.035278	0	0	672.949646
"2019"	"S12000014"	"Falkirk"	95.326335	0	3.046188	5.212519	0	0	103.585042
"2019"	"S12000047"	"Fife"	208.920597	0	3.925832	32.306455	0	458.127868	703.280752
"2019"	"S12000049"	"Glasgow City"	7.324634	0	0	12.155209	0	44.370572	63.850415
"2019"	"S12000017"	"Highland"	4134.898188	0	3091.854494	18.274247	0	184.525545	7429.552473
"2019"	"S12000018"	"Inverclyde"	5.426427	0	0	1.978162	0	0	7.404589
"2019"	"S12000019"	"Midlothian"	100.190599	0	0	4.436615	0	7.537783	112.164996
"2019"	"S12000020"	"Moray"	1325.684711	0	0.434143	9.060553	0	23.260311	1358.439719
"2019"	"S12000013"	"Na h-Eileanan Siar"	132.97591	0	6.786963	1.153883	0	0	140.916756
"2019"	"S12000021"	"North Ayrshire"	337.495094	0	14.272279	11.827325	0	0	363.594698
"2019"	"S12000050"	"North Lanarkshire"	57.905522	0	0	10.100855	0	87.972132	155.978509
"2019"	"S12000023"	"Orkney Islands"	162.036721	0	0	1.363784	0	0	163.400505
"2019"	"S12000048"	"Perth and Kinross"	533.354131	0	823.056551	26.085715	0	12.407498	1394.903894
"2019"	"S12000038"	"Renfrewshire"	0.030255	0	0	6.710221	0	0	6.740476
"2019"	"S12000026"	"Scottish Borders"	1447.477103	0	2.086584	15.73418	0	9.780976	1475.078843
"2019"	"S12000027"	"Shetland Islands"	35.930117	0	0	0.273631	0	0	36.203748
"2019"	"S12000028"	"South Ayrshire"	1352.08063	0	2.331231	4.816168	0	61.261264	1420.489294
"2019"	"S12000029"	"South Lanarkshire"	2674.148921	0	84.165345	13.496286	0	31.747252	2803.557804
"2019"	"S12000030"	"Stirling"	413.612651	0	316.293955	14.874313	0	26.707917	771.488835
"2019"	"S12000039"	"West Dunbartonshire"	0	0	0	3.495493	0	0	3.495493
"2019"	"S12000040"	"West Lothian"	228.929919	0	0	8.212362	0	0	237.142281
"2020"	"S12000033"	"Aberdeen City"	3.31071	0	0	7.266551	0	0	10.577261
"2020"	"S12000034"	"Aberdeenshire"	1203.294748	0	6.868147	37.0705	0	50.116526	1297.349921
"2020"	"S12000041"	"Angus"	47.452389	0	7.646593	37.745597	0	23.710246	116.554824
"2020"	"S12000035"	"Argyll and Bute"	882.894867	0	688.393358	5.785632	0	0	1577.073857
"2020"	"S12000036"	"City of Edinburgh"	0.224631	0	0	9.711166	0	19.2211	29.156897
"2020"	"S12000005"	"Clackmannanshire"	140.936714	0	0	6.407174	0	0	147.343888
"2020"	"S12000006"	"Dumfries and Galloway"	1696.664787	0	498.339016	12.431405	0	330.703092	2538.138301
"2020"	"S12000042"	"Dundee City"	0.079718	0	0	4.224866	0	0	4.304584
"2020"	"S12000008"	"East Ayrshire"	714.291993	0	1.941411	5.165197	0	0	721.398601
"2020"	"S12000045"	"East Dunbartonshire"	0	0	0	2.535982	0	0	2.535982
"2020"	"S12000010"	"East Lothian"	442.438159	0	0	7.403159	0	0	449.841318
"2020"	"S12000011"	"East Renfrewshire"	657.196261	0	0	2.041059	0	0	659.23732
"2020"	"S12000014"	"Falkirk"	110.017153	0	3.317002	4.882186	0	0	118.216341
"2020"	"S12000047"	"Fife"	231.797867	0	4.259259	30.943914	0	513.444773	780.445813
"2020"	"S12000049"	"Glasgow City"	8.169545	0	0	11.626386	0	49.956394	69.752326
"2020"	"S12000017"	"Highland"	4036.376195	0	3498.004904	17.119736	0	213.18713	7764.687965
"2020"	"S12000018"	"Inverclyde"	10.816206	0	0	1.874949	0	0	12.691156
"2020"	"S12000019"	"Midlothian"	108.510932	0	0	4.46959	0	7.453637	120.434159
"2020"	"S12000020"	"Moray"	1279.978522	0	0.472739	8.13791	0	24.808099	1313.39727
"2020"	"S12000013"	"Na h-Eileanan Siar"	137.837898	0	7.925804	1.030602	0	0	146.794304
"2020"	"S12000021"	"North Ayrshire"	376.249628	0	15.54112	11.038428	0	0	402.829176
"2020"	"S12000050"	"North Lanarkshire"	63.230063	0	0	9.362759	0	81.673758	154.26658
"2020"	"S12000023"	"Orkney Islands"	171.055345	0	0	1.20299	0	0	172.258336
"2020"	"S12000048"	"Perth and Kinross"	548.728604	0	1022.873914	25.087362	0	8.747907	1605.437787
"2020"	"S12000038"	"Renfrewshire"	0.031087	0	0	6.344252	0	0	6.375339
"2020"	"S12000026"	"Scottish Borders"	1625.474541	0	2.299963	14.151992	0	10.229727	1652.156223
"2020"	"S12000027"	"Shetland Islands"	40.373611	0	0	0.250469	0	0	40.62408
"2020"	"S12000028"	"South Ayrshire"	1294.639866	0	2.962435	4.335336	0	68.569326	1370.506964
"2020"	"S12000029"	"South Lanarkshire"	3013.542872	0	103.723838	12.517621	0	37.035932	3166.820263
"2020"	"S12000030"	"Stirling"	458.771165	0	394.111459	13.696956	0	31.840441	898.420021
"2020"	"S12000039"	"West Dunbartonshire"	0	0	0	3.176261	0	0	3.176261
"2020"	"S12000040"	"West Lothian"	271.18516	0	0	7.803555	0	0	278.988716
"2021"	"S12000033"	"Aberdeen City"	2.879603	0	0	7.708583	0	0	10.588186
"2021"	"S12000034"	"Aberdeenshire"	1041.939302	0	7.7086	39.873451	0	51.133912	1140.655265
