"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"185","Shetland","Scottish Government (S36)",6828,"Wind Onshore","Under Construction",NA,443,103,"Shetland Islands","S12000027"
"186","Shetland","Marine Scotland",6637,"Tidal Stream","Operational",2019-06-24,0.5,0,"Shetland Islands","S12000027"
"187","Shetland","Scottish Government (S36)",4318,"Wind Onshore","Application Submitted",NA,126,18,"Shetland Islands","S12000027"
"188","South Ayrshire","Scottish Government (S36)",7150,"Wind Onshore","Application Submitted",NA,59.4,9,"South Ayrshire","S12000028"
"189","South Ayrshire","Scottish Government (S36)",7874,"Wind Onshore","Application Submitted",NA,86,13,"South Ayrshire","S12000028"
"190","South Ayrshire","Scottish Government (S36)",7206,"Wind Onshore","Application Submitted",NA,100,18,"South Ayrshire","S12000028"
"191","South Ayrshire","Scottish Government (S36)",3258,"Wind Onshore","Operational",2011-06-14,120,60,"South Ayrshire","S12000028"
"192","South Ayrshire","Scottish Government (S36)",6798,"Wind Onshore","Awaiting Construction",NA,73,13,"South Ayrshire","S12000028"
"193","South Lanarkshire","Scottish Government (S36)",2908,"Wind Onshore","Application Submitted",NA,100,17,"South Lanarkshire","S12000029"
"194","South Lanarkshire","Scottish Government (S36)",7204,"Wind Onshore","Awaiting Construction",NA,38.4,8,"South Lanarkshire","S12000029"
"195","South Lanarkshire","Scottish Government (S36)",8001,"Wind Onshore","Awaiting Construction",NA,45.6,8,"South Lanarkshire","S12000029"
"196","South Lanarkshire","Scottish Government (S36)",7456,"Wind Onshore","Awaiting Construction",NA,84,14,"South Lanarkshire","S12000029"
"197","South Lanarkshire","Scottish Government (S36)",7587,"Wind Onshore","Awaiting Construction",NA,80,14,"South Lanarkshire","S12000029"
"198","South Lanarkshire","Scottish Government (S36)",8003,"Wind Onshore","Application Submitted",NA,147,21,"South Lanarkshire","S12000029"
"199","South Lanarkshire",NA,14023,"Small Hydro","Under Construction",NA,0,0,"South Lanarkshire","S12000029"
"200","Stirling","Scottish Government (S36)",3119,"Wind Onshore","Operational",2006-09-01,72,36,"Stirling","S12000030"
"201","Stirling","Scottish Government (S36)",487,"Small Hydro","Operational",2016-09-15,1.3,0,"Stirling","S12000030"
"202","Stirling","Scottish Government (S36)",473,"Small Hydro","Operational",2012-07-27,2.1,0,"Stirling","S12000030"
"203","Stirling","Loch Lomond and The Trossachs National Park Authority",6061,"Biomass (dedicated)","Operational",2017-07-15,5.6,0,"Stirling","S12000030"
"204","Stirling","Scottish Government (S36)",492,"Small Hydro","Operational",2016-10-15,2,0,"Stirling","S12000030"
"205","Stirlingshire","Scottish Government (S36)",11481,"Wind Onshore","Application Submitted",NA,100,11,"Offshore",NA
"206","Strathclyde","Argyll & Bute Council",13798,"Small Hydro","Application Submitted",NA,0,0,"Offshore",NA
"207","Strathclyde","Scottish Government (S36)",3317,"Wind Onshore","Awaiting Construction",NA,50.4,14,"Offshore",NA
"208","Strathclyde","Renfrew Council",12519,"Solar Photovoltaics","Awaiting Construction",NA,0.2,0,"Offshore",NA
"209","Strathclyde","Scottish Government (S36)",4368,"Wind Onshore","Operational",2017-02-15,66,22,"Offshore",NA
"210","Strathclyde","Glasgow Council",11910,"Solar Photovoltaics","Awaiting Construction",NA,0.15,0,"Offshore",NA
"211","Strathclyde","Scottish Government (S36)",4580,"Wind Onshore","Operational",2016-02-18,15,5,"Offshore",NA
"212","Strathclyde","Scottish Government (S36)",4262,"Wind Onshore","Operational",2018-02-15,50,25,"Offshore",NA
"213","Strathclyde","Scottish Government (S36)",3489,"Wind Onshore","Operational",2007-12-14,322,140,"Offshore",NA
"214","Strathclyde","East Ayrshire council",11420,"Biomass (dedicated)","Awaiting Construction",NA,0.44,0,"Offshore",NA
"215","Strathclyde","Scottish Government (S36)",4440,"Wind Onshore","Operational",2019-05-16,51,15,"Offshore",NA
"216","Strathclyde","Scottish Government (S36)",4385,"Wind Onshore","Under Construction",NA,62,13,"Offshore",NA
"217","Strathclyde","Scottish Government (S36)",4586,"Wind Onshore","Under Construction",NA,240,50,"Offshore",NA
"218","Strathclyde","Scottish Government (S36)",2757,"Wind Onshore","Operational",2013-01-15,109,39,"Offshore",NA
"219","Strathclyde","Scottish Government (S36)",13805,"Wind Onshore","Application Submitted",NA,85.8,13,"Offshore",NA
"220","Strathclyde","Scottish Government (S36)",3116,"Wind Onshore","Operational",2004-05-31,124,54,"Offshore",NA
"221","Strathclyde","Scottish Government (S36)",3260,"Wind Onshore","Operational",2011-06-01,56,24,"Offshore",NA
"222","Strathclyde","Scottish Government (S36)",3981,"Wind Onshore","Operational",2012-10-31,108,36,"Offshore",NA
"223","Strathclyde","Scottish Government (S36)",13175,"Wind Onshore","Application Submitted",NA,96,15,"Offshore",NA
"224","Strathclyde","Scottish Government (S36)",8534,"Wind Onshore","Application Submitted",NA,90.8,13,"Offshore",NA
