"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"702","Highland","Highland Council",6649,"Small Hydro","Operational",2021-07-01,1.7,0,"Highland","S12000017"
"703","Highland","Highland Council",467,"Small Hydro","Operational",1955-01-01,2.4,0,"Highland","S12000017"
"704","Highland","Highland Council",6675,"Small Hydro","Under Construction",NA,1.4,0,"Highland","S12000017"
"705","Highland","Highland Council",6676,"Small Hydro","Awaiting Construction",NA,0.9,0,"Highland","S12000017"
"706","Highlands","Highland Council",14110,"Wind Onshore","Application Submitted",NA,0.22,1,"Highland","S12000017"
"707","Highland","Highland Council",2991,"Wind Onshore","Operational",2009-07-01,4.6,2,"Highland","S12000017"
"708","Highland","Highland Council",6779,"Small Hydro","Awaiting Construction",NA,1.1,0,"Highland","S12000017"
"709","Highland","Highland Council",4675,"Wind Onshore","Operational",2010-06-07,43,20,"Highland","S12000017"
"710","Highland","Highland Council",4330,"Wind Onshore","Operational",2019-04-08,10,5,"Highland","S12000017"
"711","Highland","Highland Council",495,"Small Hydro","Operational",2017-10-01,2,0,"Highland","S12000017"
"712","Highland","Highland Council",496,"Small Hydro","Operational",2017-03-16,1.1,0,"Highland","S12000017"
"713","Highland","Highland Council",448,"Small Hydro","Operational",2017-01-15,1.4,0,"Highland","S12000017"
"714","Highland","Highland Council",8057,"Wind Onshore","Awaiting Construction",NA,40,8,"Highland","S12000017"
"715","Highland","Highland Council",498,"Small Hydro","Operational",2017-08-01,2,0,"Highland","S12000017"
"716","Highland","Highland Council",3371,"Wind Onshore","Awaiting Construction",NA,49.9,12,"Highland","S12000017"
"717","Highland","Highland Council",8999,"Wind Onshore","Application Submitted",NA,222,37,"Highland","S12000017"
"718","Highland","Highland Council",6838,"Small Hydro","Awaiting Construction",NA,2,0,"Highland","S12000017"
"719","Highland","Highland Council",489,"Small Hydro","Under Construction",NA,2,0,"Highland","S12000017"
"720","Highland","Highland Council",391,"Large Hydro","Operational",1909-01-01,19.5,0,"Highland","S12000017"
"721","Highland","Highland Council",3846,"Wind Onshore","Operational",2020-03-01,29.9,13,"Highland","S12000017"
"722","Highland","Highland Council",3108,"Wind Onshore","Operational",2004-06-01,48.3,24,"Highland","S12000017"
"723","Highland","Highland Council",6781,"Small Hydro","Awaiting Construction",NA,2,0,"Highland","S12000017"
"724","Highland","Highland Council",396,"Large Hydro","Operational",1957-01-01,5,0,"Highland","S12000017"
"725","Highland","Highland Council",6545,"Small Hydro","Under Construction",NA,1.1,0,"Highland","S12000017"
"726","Highland","Highland Council",8046,"Wind Onshore","Operational",2021-06-26,0.2,3,"Highland","S12000017"
"727","Highland","Highland Council",7274,"Solar Photovoltaics","Under Construction",NA,0.5,0,"Highland","S12000017"
"728","Highland","Highland Council",401,"Large Hydro","Operational",1954-04-01,15,0,"Highland","S12000017"
"729","Highland","Highland Council",4636,"Wind Onshore","Operational",2021-03-31,34,15,"Highland","S12000017"
"730","Highland","Highland Council",8884,"Wind Onshore","Awaiting Construction",NA,34.5,10,"Highland","S12000017"
"731","Highland","Highland Council",398,"Large Hydro","Operational",1962-01-01,20,0,"Highland","S12000017"
"732","Highland","Highland Council",3309,"Wind Onshore","Operational",2003-02-08,4.9,4,"Highland","S12000017"
"733","Highland","Highland Council",4013,"Wind Onshore","Operational",2012-09-17,36.8,16,"Highland","S12000017"
"734","Highland","Highland Council",5187,"Wind Onshore","Operational",2021-04-12,1.5,1,"Highland","S12000017"
"735","Highland","Highland Council",387,"Large Hydro","Operational",1957-01-01,36,0,"Highland","S12000017"
"736","Highland","Highland Council",5703,"Anaerobic Digestion","Operational",2017-10-01,2,0,"Highland","S12000017"
"737","Highland","Highland Council",3598,"Wind Onshore","Operational",2008-12-01,10,4,"Highland","S12000017"
"738","Highland","Highland Council",4425,"Wind Onshore","Operational",2017-09-15,18.5,9,"Highland","S12000017"
"739","Highland","Highland Council",3297,"Wind Onshore","Operational",1997-09-01,17,34,"Highland","S12000017"
"740","Highland","Highland Council",4299,"Wind Onshore","Operational",2017-05-15,9.2,4,"Highland","S12000017"
"741","Highland","Highland Council",3668,"Wind Onshore","Operational",2011-01-01,4.6,2,"Highland","S12000017"
"742","Highland","Highland Council",7476,"Wind Onshore","Awaiting Construction",NA,36,7,"Highland","S12000017"
"743","Highland","Highland Council",8849,"Biomass (dedicated)","Application Submitted",NA,260,0,"Highland","S12000017"
"744","Highland","Highland Council",5965,"Small Hydro","Operational",2017-12-07,2,0,"Highland","S12000017"
"745","Highland","Highland Council",6793,"Wind Onshore","Awaiting Construction",NA,29.4,7,"Highland","S12000017"
"746","Highland","Highland Council",3202,"Wind Onshore","Operational",2008-06-14,47.5,19,"Highland","S12000017"
"747","Highland","Highland Council",4051,"Wind Onshore","Operational",2013-02-28,24.7,19,"Highland","S12000017"
"748","Highland","Highland Council",13925,"Biomass (dedicated)","Awaiting Construction",NA,0,0,"Highland","S12000017"
"752","Strathclyde","Inverclyde Council",12420,"Solar Photovoltaics","Awaiting Construction",NA,0.228,0,"Inverclyde","S12000018"
"753","Strathclyde","Inverclyde Council",12814,"Solar Photovoltaics","Awaiting Construction",NA,0.62,0,"Inverclyde","S12000018"
"754","Inverclyde","Inverclyde Council",9983,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Inverclyde","S12000018"
"755","Inverclyde","Inverclyde Council",11101,"Solar Photovoltaics","Under Construction",NA,0.341,0,"Inverclyde","S12000018"
"756","Strathclyde","Inverclyde Council",4200,"Wind Onshore","Operational",2021-02-20,24,8,"Inverclyde","S12000018"
"775","Midlothian","Midlothian Council",12444,"Solar Photovoltaics","Application Submitted",NA,0.255,0,"Midlothian","S12000019"
"776","Midlothian","Midlothian Council",5247,"EfW Incineration","Operational",2019-05-01,12.5,0,"Midlothian","S12000019"
"777","Lothian","Midlothian Council",747,"Landfill Gas","Operational",2001-07-15,2.2,0,"Midlothian","S12000019"
"778","Midlothian","Midlothian Council",12445,"Solar Photovoltaics","Application Submitted",NA,0.24,0,"Midlothian","S12000019"
"779","Midlothian","Midlothian Council",10866,"Solar Photovoltaics","Awaiting Construction",NA,0.15,0,"Midlothian","S12000019"
"780","Lothian","Midlothian Council",3300,"Wind Onshore","Operational",2002-09-05,31.2,24,"Midlothian","S12000019"
"781","Midlothian","Midlothian Council",14036,"Solar Photovoltaics","Awaiting Construction",NA,0.19024,0,"Midlothian","S12000019"
"782","Lothian","Midlothian Council",371,"Anaerobic Digestion","Operational",2016-12-01,1.5,0,"Midlothian","S12000019"
"783","Lothian","Midlothian Council",675,"Landfill Gas","Operational",2006-12-01,2,0,"Midlothian","S12000019"
"784","Midlothian","Midlothian Council",7222,"Solar Photovoltaics","Under Construction",NA,3,0,"Midlothian","S12000019"
"785",NA,"Midlothian Council",10718,"Solar Photovoltaics","Application Submitted",NA,0,0,"Midlothian","S12000019"
"786","Borders","Midlothian Council",3570,"Wind Onshore","Operational",2000-08-21,17.2,26,"Midlothian","S12000019"
"787","Midlothian","Midlothian Council",12685,"Solar Photovoltaics","Awaiting Construction",NA,0.37392,0,"Midlothian","S12000019"
"788","Lothian","Midlothian Council",799,"Landfill Gas","Operational",2005-04-01,2,0,"Midlothian","S12000019"
"789","Grampian","Moray Council",4072,"Wind Onshore","Operational",2016-10-31,18,6,"Moray","S12000020"
"790","Grampian","Moray Council",11249,"Anaerobic Digestion","Under Construction",NA,0,0,"Moray","S12000020"
"791","Moray","Moray Council",12660,"Anaerobic Digestion","Application Submitted",NA,0,0,"Moray","S12000020"
"792","Grampian","Moray Council",140,"Biomass (dedicated)","Operational",2013-04-16,8.3,0,"Moray","S12000020"
"793","Aberdeenshire","Moray Council",14108,"Anaerobic Digestion","Application Submitted",NA,4,0,"Moray","S12000020"
"794","Grampian","Moray Council",3951,"Wind Onshore","Operational",2013-04-15,41.4,18,"Moray","S12000020"
"795","Grampian","Moray Council",3804,"Wind Onshore","Operational",2013-07-05,1.6,2,"Moray","S12000020"
"796","Aberdeenshire","Moray Council",14137,"Anaerobic Digestion","Application Submitted",NA,4,0,"Moray","S12000020"
"797","Grampian","Moray Council",3691,"Wind Onshore","Operational",2014-11-01,4.6,2,"Moray","S12000020"
"798","Moray","Moray Council",7512,"Anaerobic Digestion","Awaiting Construction",NA,2,0,"Moray","S12000020"
"799","Grampian","Moray Council",4014,"Wind Onshore","Operational",2012-06-01,48,21,"Moray","S12000020"
"800","Aberdeenshire","Moray Council",14109,"Anaerobic Digestion","Application Submitted",NA,4,0,"Moray","S12000020"
"801","Moray","Moray Council",6416,"Solar Photovoltaics","Awaiting Construction",NA,20,0,"Moray","S12000020"
"802","Grampian","Moray Council",4381,"Wind Onshore","Operational",2016-12-01,27.6,12,"Moray","S12000020"
"803","Moray","Moray Council",7477,"Anaerobic Digestion","Operational",2015-12-15,1.5,0,"Moray","S12000020"
"804","Grampian","Moray Council",12686,"Anaerobic Digestion","Application Submitted",NA,0,0,"Moray","S12000020"
"805","Grampian","Moray Council",186,"Biomass (dedicated)","Operational",2016-06-24,12.5,0,"Moray","S12000020"
"806","Strathclyde","North Ayrshire Council",343,"Anaerobic Digestion","Operational",2015-03-15,1,0,"North Ayrshire","S12000021"
"807","Strathclyde","North Ayrshire Council",3149,"Wind Onshore","Operational",2012-05-02,28,14,"North Ayrshire","S12000021"
"808","Strathclyde","North Ayrshire Council",4235,"Wind Onshore","Operational",2016-03-31,6.4,2,"North Ayrshire","S12000021"
"809","Ayrshire","North Ayrshire Council",9352,"Solar Photovoltaics","Awaiting Construction",NA,1,0,"North Ayrshire","S12000021"
"810","North Ayrshire","North Ayrshire Council",6753,"EfW Incineration","Under Construction",NA,17,0,"North Ayrshire","S12000021"
"811","Strathclyde","North Ayrshire Council",4315,"Wind Onshore","Under Construction",NA,9,3,"North Ayrshire","S12000021"
"812","Strathclyde","North Ayrshire Council",3117,"Wind Onshore","Operational",2003-12-19,24,12,"North Ayrshire","S12000021"
"813","Strathclyde","North Ayrshire Council",4691,"Wind Onshore","Operational",2006-03-01,18,6,"North Ayrshire","S12000021"
"814","Strathclyde","North Ayrshire Council",682,"Landfill Gas","Operational",2004-10-13,1.2,0,"North Ayrshire","S12000021"
"815","Strathclyde","North Ayrshire Council",34,"Biomass (dedicated)","Operational",2009-06-04,26,0,"North Ayrshire","S12000021"
"816","Ayrshire","North Ayrshire Council",13030,"Solar Photovoltaics","Awaiting Construction",NA,7.5,0,"North Ayrshire","S12000021"
"817","Strathclyde","North Ayrshire Council",4668,"Wind Onshore","Operational",2008-11-01,6,3,"North Ayrshire","S12000021"
"818","Ayrshire","North Ayrshire Council",14106,"Solar Photovoltaics","Application Submitted",NA,0.25,0,"North Ayrshire","S12000021"
"819","Ayrshire","North Ayrshire Council",13115,"Solar Photovoltaics","Awaiting Construction",NA,0.198,0,"North Ayrshire","S12000021"
"820","Ayrshire","North Ayrshire Council",13250,"Solar Photovoltaics","Awaiting Construction",NA,5,0,"North Ayrshire","S12000021"
"821","North Ayrshire","North Ayrshire Council",7376,"Wind Onshore","Under Construction",NA,3,2,"North Ayrshire","S12000021"
"822","Strathclyde","North Ayrshire Council",4370,"Wind Onshore","Operational",2014-06-01,2.5,1,"North Ayrshire","S12000021"
"823","North Ayrshire","North Ayrshire Council",5332,"Solar Photovoltaics","Operational",2017-03-31,5,0,"North Ayrshire","S12000021"
"824","Strathclyde","North Ayrshire Council",3841,"Wind Onshore","Operational",2013-06-30,7.5,3,"North Ayrshire","S12000021"
"825","Strathclyde","North Ayrshire Council",266,"Anaerobic Digestion","Operational",2012-05-11,2.2,0,"North Ayrshire","S12000021"
"826","North Ayrshire","North Ayrshire Council",7232,"Solar Photovoltaics","Under Construction",NA,19.9,0,"North Ayrshire","S12000021"
"827","Strathclyde","North Ayrshire Council",3690,"Wind Onshore","Operational",2012-05-01,18,6,"North Ayrshire","S12000021"
"828","Strathclyde","North Lanarkshire Council",231,"Anaerobic Digestion","Operational",2011-06-22,2.4,0,"North Lanarkshire","S12000050"
"829","North Lanarkshire","North Lanarkshire Council",6731,"Biomass (dedicated)","Operational",2017-03-30,17,0,"North Lanarkshire","S12000050"
"830","Strathclyde","North Lanarkshire Council",687,"Landfill Gas","Operational",2002-12-01,2.2,0,"North Lanarkshire","S12000050"
"831","Lanarkshire","North Lanarkshire Council",13916,"Solar Photovoltaics","Awaiting Construction",NA,1.35,0,"North Lanarkshire","S12000050"
"832","Strathclyde","North Lanarkshire Council",760,"Landfill Gas","Operational",2002-12-01,2.2,0,"North Lanarkshire","S12000050"
"833","Strathclyde","North Lanarkshire Council",1007,"Advanced Conversion Technologies","Under Construction",NA,25,0,"North Lanarkshire","S12000050"
"834","Strathclyde","North Lanarkshire Council",639,"Landfill Gas","Operational",2006-01-01,4,0,"North Lanarkshire","S12000050"
"835","Lanarkshire","North Lanarkshire Council",13869,"Solar Photovoltaics","Awaiting Construction",NA,0.19,0,"North Lanarkshire","S12000050"
"836","North Lanarkshire","North Lanarkshire Council",4747,"Wind Onshore","Operational",2016-10-01,1.5,1,"North Lanarkshire","S12000050"
"837","North Lanarkshire","North Lanarkshire Council",7370,"Wind Onshore","Awaiting Construction",NA,4.2,1,"North Lanarkshire","S12000050"
"838","Strathclyde","North Lanarkshire Council",210,"Anaerobic Digestion","Operational",2010-09-28,1,0,"North Lanarkshire","S12000050"
"839","Lanarkshire","North Lanarkshire Council",11007,"Wind Onshore","Application Submitted",NA,26.4,4,"North Lanarkshire","S12000050"
"840","North Lanarkshire","North Lanarkshire Council",12479,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"North Lanarkshire","S12000050"
"841","Strathclyde","North Lanarkshire Council",3747,"Wind Onshore","Operational",2013-05-17,2.5,1,"North Lanarkshire","S12000050"
"842","Strathclyde","North Lanarkshire Council",4213,"Wind Onshore","Under Construction",NA,24,8,"North Lanarkshire","S12000050"
"843","North Lanarkshire","North Lanarkshire Council",7391,"Solar Photovoltaics","Operational",2019-03-01,0.2,0,"North Lanarkshire","S12000050"
"844","Strathclyde","North Lanarkshire Council",716,"Landfill Gas","Operational",2002-11-01,2.3,0,"North Lanarkshire","S12000050"
"845","North Lanarkshire","North Lanarkshire Council",5062,"Wind Onshore","Application Submitted",NA,2.3,1,"North Lanarkshire","S12000050"
"846","West Lothian","North Lanarkshire Council",12506,"Wind Onshore","Application Submitted",NA,4.2,1,"North Lanarkshire","S12000050"
"847","Strathclyde","North Lanarkshire Council",11940,"Solar Photovoltaics","Awaiting Construction",NA,0.18,0,"North Lanarkshire","S12000050"
"848","Strathclyde","North Lanarkshire Council",3799,"Wind Onshore","Operational",2013-12-30,9,3,"North Lanarkshire","S12000050"
"849","Strathclyde","North Lanarkshire Council",692,"Landfill Gas","Operational",1999-08-13,2,0,"North Lanarkshire","S12000050"
"850","Lanarkshire","North Lanarkshire Council",13824,"Wind Onshore","Application Submitted",NA,0,2,"North Lanarkshire","S12000050"
"851","Strathclyde","North Lanarkshire Council",211,"Anaerobic Digestion","Operational",2011-10-05,2.4,0,"North Lanarkshire","S12000050"
"852","Strathclyde","North Lanarkshire Council",3236,"Wind Onshore","Operational",2007-11-01,4,2,"North Lanarkshire","S12000050"
"853","North Lanarkshire","North Lanarkshire Council",7991,"Wind Onshore","Awaiting Construction",NA,8.4,2,"North Lanarkshire","S12000050"
"854","Lanarkshire","North Lanarkshire Council",13788,"Solar Photovoltaics","Awaiting Construction",NA,1.3,0,"North Lanarkshire","S12000050"
"855","Strathclyde","North Lanarkshire Council",4085,"Wind Onshore","Operational",2015-06-18,5.7,2,"North Lanarkshire","S12000050"
"856","Strathclyde","North Lanarkshire Council",693,"Landfill Gas","Operational",1999-08-13,2,0,"North Lanarkshire","S12000050"
"857","North Lanarkshire","North Lanarkshire Council",5348,"Wind Onshore","Application Submitted",NA,13.2,4,"North Lanarkshire","S12000050"
"858","Strathclyde","North Lanarkshire Council",4307,"Wind Onshore","Operational",2023-01-01,27.2,8,"North Lanarkshire","S12000050"
"859","North Lanarkshire","North Lanarkshire Council",12922,"Solar Photovoltaics","Under Construction",NA,0.227,0,"North Lanarkshire","S12000050"
"860","Strathclyde","North Lanarkshire Council",694,"Landfill Gas","Operational",1996-05-01,1.9,0,"North Lanarkshire","S12000050"
"861","Strathclyde","North Lanarkshire Council",695,"Landfill Gas","Operational",1996-10-01,1.9,0,"North Lanarkshire","S12000050"
"862","Lanarkshire","North Lanarkshire Council",13868,"Solar Photovoltaics","Awaiting Construction",NA,0.175,0,"North Lanarkshire","S12000050"
"863","Orkney Islands","Orkney Islands Council",14057,"Wind Onshore","Application Submitted",NA,1.8,2,"Orkney Islands","S12000023"
"864","Orkney Islands","Orkney Islands Council",3837,"Wind Onshore","Operational",2012-12-01,10,5,"Orkney Islands","S12000023"
"865","Orkney Islands","Orkney Islands Council",3321,"Wind Onshore","Operational",2014-10-20,1,2,"Orkney Islands","S12000023"
"866","Orkney Islands","Orkney Islands Council",3120,"Wind Onshore","Operational",2000-04-01,1.5,1,"Orkney Islands","S12000023"
"867","Orkney Islands","Orkney Islands Council",2742,"Wind Onshore","Operational",2010-07-01,2,1,"Orkney Islands","S12000023"
"868","Orkney Islands","Orkney Islands Council",3789,"Wind Onshore","Awaiting Construction",NA,2.7,3,"Orkney Islands","S12000023"
"869","Orkney Islands","Orkney Islands Council",3529,"Wind Onshore","Operational",2002-04-10,2.7,3,"Orkney Islands","S12000023"
"870","Orkney Islands","Orkney Islands Council",2697,"Wind Onshore","Operational",2010-09-20,4.3,5,"Orkney Islands","S12000023"
"871","Orkney Islands","Orkney Islands Council",7394,"Wind Onshore","Awaiting Construction",NA,28.8,6,"Orkney Islands","S12000023"
"872","Orkney Islands","Orkney Islands Council",3307,"Wind Onshore","Operational",2006-12-01,5,2,"Orkney Islands","S12000023"
"873","Orkney Islands","Orkney Islands Council",8397,"Wind Onshore","Awaiting Construction",NA,28.8,6,"Orkney Islands","S12000023"
"874","Orkney Islands","Orkney Islands Council",10883,"Wind Onshore","Application Submitted",NA,26.4,4,"Orkney Islands","S12000023"
"875","Orkney Islands","Orkney Islands Council",4008,"Wind Onshore","Operational",2002-05-10,2.7,3,"Orkney Islands","S12000023"
"876","Orkney Islands","Orkney Islands Council",6643,"Wind Onshore","Awaiting Construction",NA,8.4,2,"Orkney Islands","S12000023"
"877","Orkney Islands","Orkney Islands Council",3408,"Wind Onshore","Operational",2009-11-01,2.3,1,"Orkney Islands","S12000023"
"878","Islands","Orkney Islands Council",13407,"Wind Onshore","Application Submitted",NA,0.5,1,"Orkney Islands","S12000023"
"879","Orkney Islands","Orkney Islands Council",3308,"Wind Onshore","Operational",2000-04-01,2.3,2,"Orkney Islands","S12000023"
"880","Orkney Islands","Orkney Islands Council",3902,"Wind Onshore","Operational",2013-07-01,1.8,2,"Orkney Islands","S12000023"
"881","Orkney Islands","Orkney Islands Council",3693,"Wind Onshore","Operational",2013-02-18,1.8,2,"Orkney Islands","S12000023"
"882","Orkney Islands","Orkney Islands Council",5198,"Wind Onshore","Awaiting Construction",NA,20.4,5,"Orkney Islands","S12000023"
"883","Orkney Islands","Orkney Islands Council",5188,"Wind Onshore","Awaiting Construction",NA,16.3,5,"Orkney Islands","S12000023"
"884","Orkney Islands","Orkney Islands Council",4678,"Wind Onshore","Operational",2010-06-01,1.8,1,"Orkney Islands","S12000023"
"885","Orkney Islands","Orkney Islands Council",9300,"Wind Onshore","Application Submitted",NA,28.8,6,"Orkney Islands","S12000023"
"889","Perth and Kinross","Perth and Kinross Council",7347,"Solar Photovoltaics","Operational",2020-11-01,1.8,0,"Perth and Kinross","S12000048"
"890","Perth and Kinross","Perth and Kinross Council",4817,"Wind Onshore","Operational",2020-01-01,10,4,"Perth and Kinross","S12000048"
"891","Tayside","Perth and Kinross Council",419,"Small Hydro","Operational",1952-01-01,1.9,0,"Perth and Kinross","S12000048"
"892","Tayside","Perth and Kinross Council",4009,"Wind Onshore","Operational",2008-11-09,36.8,16,"Perth and Kinross","S12000048"
"893","Tayside","Perth and Kinross Council",394,"Large Hydro","Operational",1950-01-01,15,0,"Perth and Kinross","S12000048"
"894","Perthshire","Perth and Kinross Council",13647,"Solar Photovoltaics","Awaiting Construction",NA,0.25,0,"Perth and Kinross","S12000048"
"895","Perth and Kinross","Perth and Kinross Council",5951,"Anaerobic Digestion","Operational",2018-04-20,1.5,0,"Perth and Kinross","S12000048"
"896","Perth and Kinross","Perth and Kinross Council",7287,"Solar Photovoltaics","Operational",2021-07-01,0.4,0,"Perth and Kinross","S12000048"
"897","Tayside","Perth and Kinross Council",3581,"Wind Onshore","Operational",2011-05-25,9.6,12,"Perth and Kinross","S12000048"
"898","Tayside","Perth and Kinross Council",10900,"Wind Onshore","Awaiting Construction",NA,1,1,"Perth and Kinross","S12000048"
"899","Tayside","Perth and Kinross Council",4027,"Wind Onshore","Operational",2013-09-30,32.2,14,"Perth and Kinross","S12000048"
"900","Tayside","Perth and Kinross Council",393,"Large Hydro","Operational",1953-01-01,6.4,0,"Perth and Kinross","S12000048"
"901","Perth and Kinross","Perth and Kinross Council",7915,"Solar Photovoltaics","Operational",2021-05-17,0.3,0,"Perth and Kinross","S12000048"
"902","Tayside","Perth and Kinross Council",4599,"Wind Onshore","Operational",2018-01-23,14.4,7,"Perth and Kinross","S12000048"
"903","Tayside","Perth and Kinross Council",463,"Small Hydro","Operational",1961-01-01,3,0,"Perth and Kinross","S12000048"
"904","Tayside","Perth and Kinross Council",478,"Small Hydro","Operational",2015-12-20,1.9,0,"Perth and Kinross","S12000048"
"905","Tayside","Perth and Kinross Council",465,"Small Hydro","Operational",1962-01-01,2.2,0,"Perth and Kinross","S12000048"
"906","Tayside","Perth and Kinross Council",464,"Small Hydro","Operational",1958-01-01,4,0,"Perth and Kinross","S12000048"
"907","Tayside","Perth and Kinross Council",1930,"Solar Photovoltaics","Operational",2016-03-19,13,0,"Perth and Kinross","S12000048"
"908","Tayside","Perth and Kinross Council",4450,"Wind Onshore","Operational",2014-09-09,4,2,"Perth and Kinross","S12000048"
"909","Angus","Perth and Kinross Council",9817,"Solar Photovoltaics","Awaiting Construction",NA,2,0,"Perth and Kinross","S12000048"
"910","Tayside","Perth and Kinross Council",504,"Small Hydro","Operational",2010-05-01,2,0,"Perth and Kinross","S12000048"
"911","Tayside","Perth and Kinross Council",407,"Large Hydro","Operational",2004-09-01,11,0,"Perth and Kinross","S12000048"
"912","Tayside","Perth and Kinross Council",3487,"Wind Onshore","Operational",2008-09-29,27,18,"Perth and Kinross","S12000048"
"913","Tayside","Perth and Kinross Council",477,"Small Hydro","Operational",2015-11-15,1.2,0,"Perth and Kinross","S12000048"
"914","Perth and Kinross","Perth and Kinross Council",7807,"EfW Incineration","Awaiting Construction",NA,7.3,0,"Perth and Kinross","S12000048"
"915","Perth and Kinross","Perth and Kinross Council",2860,"Wind Onshore","Under Construction",NA,20.7,9,"Perth and Kinross","S12000048"
"916","Tayside","Perth and Kinross Council",429,"Small Hydro","Operational",2011-02-01,1.4,0,"Perth and Kinross","S12000048"
"917","Perth and Kinross","Perth and Kinross Council",9071,"Solar Photovoltaics","Awaiting Construction",NA,5,0,"Perth and Kinross","S12000048"
"918","Tayside","Perth and Kinross Council",476,"Small Hydro","Operational",2017-07-15,2,0,"Perth and Kinross","S12000048"
"919","Tayside","Perth and Kinross Council",453,"Small Hydro","Operational",2016-01-29,1.1,0,"Perth and Kinross","S12000048"
"920","Tayside","Perth and Kinross Council",8188,"Biomass (dedicated)","Operational",2021-10-01,1.2,0,"Perth and Kinross","S12000048"
"921","Tayside","Perth and Kinross Council",926,"Advanced Conversion Technologies","Awaiting Construction",NA,4.6,0,"Perth and Kinross","S12000048"
"922","Tayside","Perth and Kinross Council",3396,"Wind Onshore","Operational",2018-01-23,9.2,4,"Perth and Kinross","S12000048"
"923","Tayside","Perth and Kinross Council",715,"Landfill Gas","Operational",2004-04-01,1.9,0,"Perth and Kinross","S12000048"
"924","Tayside","Perth and Kinross Council",12949,"Solar Photovoltaics","Awaiting Construction",NA,0.3,0,"Perth and Kinross","S12000048"
"925","Tayside","Perth and Kinross Council",9585,"Solar Photovoltaics","Awaiting Construction",NA,7,0,"Perth and Kinross","S12000048"
"926","Tayside","Perth and Kinross Council",462,"Small Hydro","Operational",1958-01-01,4,0,"Perth and Kinross","S12000048"
"927","Tayside","Perth and Kinross Council",472,"Small Hydro","Operational",2010-10-13,1,0,"Perth and Kinross","S12000048"
"928","Tayside","Perth and Kinross Council",12755,"Solar Photovoltaics","Awaiting Construction",NA,2,0,"Perth and Kinross","S12000048"
"930","Renfrewshire","Renfrewshire Council",9946,"Solar Photovoltaics","Awaiting Construction",NA,14.3,0,"Renfrewshire","S12000038"
"931","Strathclyde","Renfrewshire Council",11095,"Solar Photovoltaics","Awaiting Construction",NA,19.9,0,"Renfrewshire","S12000038"
"932","Borders","Scottish Borders Council",3429,"Wind Onshore","Operational",2018-05-15,1,2,"Scottish Borders","S12000026"
"933","Borders","Scottish Borders Council",13831,"Solar Photovoltaics","Application Submitted",NA,0,0,"Scottish Borders","S12000026"
"934","Borders","Scottish Borders Council",3299,"Wind Onshore","Operational",2002-09-15,30,24,"Scottish Borders","S12000026"
"935","Borders","Scottish Borders Council",3457,"Wind Onshore","Operational",2010-10-12,27.6,12,"Scottish Borders","S12000026"
"936","Lothian","Scottish Borders Council",12353,"Wind Onshore","Application Submitted",NA,36,8,"Scottish Borders","S12000026"
"937","Scottish Borders","Scottish Borders Council",11912,"Solar Photovoltaics","Awaiting Construction",NA,0.80042,0,"Scottish Borders","S12000026"
"938","Borders","Scottish Borders Council",13657,"Solar Photovoltaics","Awaiting Construction",NA,0.24,0,"Scottish Borders","S12000026"
"939","Borders","Scottish Borders Council",11615,"Solar Photovoltaics","Awaiting Construction",NA,0.51,0,"Scottish Borders","S12000026"
"940","Borders","Scottish Borders Council",4023,"Wind Onshore","Operational",2012-09-01,28.6,22,"Scottish Borders","S12000026"
"941","Borders","Scottish Borders Council",3538,"Wind Onshore","Operational",2012-02-01,22,11,"Scottish Borders","S12000026"
"942","Borders","Scottish Borders Council",11340,"Solar Photovoltaics","Awaiting Construction",NA,0.48,0,"Scottish Borders","S12000026"
"943","Borders","Scottish Borders Council",4620,"Wind Onshore","Operational",2015-03-26,16,10,"Scottish Borders","S12000026"
"944","Borders","Scottish Borders Council",4179,"Wind Onshore","Operational",2017-03-09,29.9,13,"Scottish Borders","S12000026"
"945","Borders","Scottish Borders Council",3605,"Wind Onshore","Operational",2009-09-01,38,19,"Scottish Borders","S12000026"
"946","Borders","Scottish Borders Council",3574,"Wind Onshore","Operational",2007-02-14,28.6,22,"Scottish Borders","S12000026"
"947","Borders","Scottish Borders Council",4600,"Wind Onshore","Operational",2016-07-01,28.7,14,"Scottish Borders","S12000026"
"948","Borders","Scottish Borders Council",3214,"Wind Onshore","Operational",2010-11-02,6,3,"Scottish Borders","S12000026"
"949","Borders","Scottish Borders Council",10715,"Wind Onshore","Application Submitted",NA,78,13,"Scottish Borders","S12000026"
"950","Scottish Borders","Scottish Borders Council",6147,"Wind Onshore","Awaiting Construction",NA,33,11,"Scottish Borders","S12000026"
"951","Borders","Scottish Borders Council",3579,"Wind Onshore","Operational",2009-09-20,29.8,35,"Scottish Borders","S12000026"
"952","Scottish Borders","Scottish Borders Council",6214,"Wind Onshore","Under Construction",NA,20,8,"Scottish Borders","S12000026"
"953","Borders","Scottish Borders Council",4575,"Wind Onshore","Operational",2017-03-31,6.9,3,"Scottish Borders","S12000026"
"954","Borders","Scottish Borders Council",171,"Advanced Conversion Technologies","Operational",2015-06-30,10,0,"Scottish Borders","S12000026"
"955","Borders","Scottish Borders Council",2672,"Wind Onshore","Operational",2013-02-18,2.4,3,"Scottish Borders","S12000026"
